HS,TS,TA,HA,TT,C
7230.333,1260,554,9392,0.00000,41.19500
7227.833,1260,499,9476,0.06319,41.20000
7226.500,1260,525,9569,0.10492,41.21000
7225.500,1260,463,9603,0.14663,41.20250
7225.500,1260,485,9653,0.18833,41.18250
7223.500,1260,483,9694,0.23003,41.20250
7222.333,1260,367,9674,0.27175,41.20000
7221.167,1260,368,9692,0.31346,41.18250
7220.000,1240,415,9712,0.35517,41.19500
7218.167,1240,732,9830,0.39690,41.19250
7218.167,1240,872,9851,0.41800,41.20250
7217.000,1240,990,9794,0.43909,41.20000
7217.667,1240,1150,9144,0.46019,41.22250
7217.000,1240,1241,8517,0.47440,41.23750
7217.500,1240,1313,7686,0.48863,41.24000
7216.000,1240,1404,7065,0.50285,41.23500
7216.167,1240,1448,6936,0.51008,41.24250
7215.333,1240,1550,6622,0.52087,41.24750
7338.667,1240,1631,6354,0.52810,41.24750
7366.833,1240,1699,6018,0.53535,41.25000
7448.000,1240,1678,6029,0.54258,41.25000
7559.667,1240,1687,6046,0.54983,41.26750
7608.833,1220,1764,5695,0.55706,41.28000
7619.000,1220,1731,5794,0.56786,41.26750
7621.667,1220,1711,5751,0.57863,41.26500
7624.000,1220,1684,5714,0.58942,41.26000
7625.167,1220,1792,5611,0.60022,41.25250
7625.667,1220,1843,5696,0.61443,41.26250
7626.667,1220,1750,5788,0.62521,41.26250
7626.667,1220,1612,6202,0.63598,41.26000
7625.833,1220,1435,6653,0.65021,41.24250
7585.000,1220,1333,7204,0.66442,41.23000
7555.000,1240,1228,7494,0.67863,41.24000
7508.333,1240,1084,7777,0.69972,41.25000
7467.500,1240,983,8052,0.72081,41.23250
7446.167,1240,904,8328,0.74190,41.23500
7435.167,1240,801,8437,0.76301,41.22750
7425.667,1240,757,8617,0.78407,41.21000
7418.500,1240,723,8767,0.80517,41.22250
7409.333,1240,702,8890,0.82625,41.22500
7403.500,1240,739,9105,0.84735,41.23250
7396.833,1240,785,9303,0.86844,41.24500
7391.667,1240,816,9439,0.88954,41.22750
7387.167,1240,890,9588,0.91064,41.22000
7382.167,1240,940,9670,0.93172,41.21500
7379.000,1260,964,9713,0.95281,41.22000
7376.000,1240,976,9742,0.97389,41.23000
7372.667,1240,982,9763,0.99499,41.24250
7369.667,1240,990,9791,1.01615,41.23500
7367.333,1240,993,9803,1.03720,41.22750
7363.000,1240,981,9827,1.07889,41.23000
7359.667,1240,981,9837,1.09998,41.24000
7357.500,1240,973,9843,1.12106,41.23750
7351.667,1240,952,9847,1.16275,41.25000
7349.167,1240,946,9847,1.18385,41.22750
7344.500,1240,939,9820,1.22553,41.23500
7340.667,1240,937,9783,1.26725,41.23000
7337.333,1260,941,9640,1.30894,41.25500
7333.500,1260,947,9475,1.35062,41.25250
7329.833,1260,1001,9309,1.39233,41.24250
7326.333,1260,1048,8950,1.43400,41.26000
7323.500,1260,1086,8695,1.47568,41.26250
7322.333,1260,1099,8589,1.49677,41.24500
7321.000,1260,1149,8435,1.51786,41.25500
7320.167,1260,1183,8189,1.53209,41.25250
7318.167,1260,1199,8023,1.54633,41.25500
7317.000,1260,1228,7956,1.56053,41.27000
7316.000,1260,1255,7750,1.57133,41.25250
7315.000,1260,1260,7654,1.58212,41.25500
7315.000,1260,1252,7567,1.59291,41.27250
7313.833,1260,1264,7519,1.60712,41.26750
7312.500,1260,1257,7492,1.62134,41.24500
7311.000,1260,1225,7459,1.63556,41.25750
7310.333,1260,1212,7583,1.64979,41.26250
7309.500,1260,1195,7635,1.66399,41.25250
7308.167,1260,1171,7690,1.67822,41.25750
7306.667,1260,1115,7773,1.69931,41.25500
7306.500,1260,1045,7962,1.72039,41.25000
7305.667,1260,971,8121,1.74149,41.24750
7303.000,1260,944,8186,1.78319,41.25750
7301.500,1260,760,8291,1.82487,41.24250
7299.333,1260,678,8735,1.86659,41.25250
7297.833,1260,672,8890,1.90828,41.25250
7296.167,1260,603,8890,1.94999,41.25250
7293.000,1260,520,8929,1.99170,41.25250
7291.000,1260,493,9086,2.03340,41.26750
7288.500,1260,469,9215,2.07512,41.25250
7286.000,1260,426,9309,2.11683,41.27000
7284.333,1260,414,9422,2.15854,41.24000
7281.500,1260,355,9464,2.20024,41.26500
7278.833,1240,319,9503,2.24197,41.25750
7276.167,1240,289,9534,2.28368,41.22750
7273.500,1240,305,9591,2.32541,41.26500
7271.667,1240,395,9662,2.36711,41.25250
7269.500,1240,683,9671,2.40882,41.24250
7268.333,1220,858,9019,2.42990,41.26000
7267.167,1220,1054,7783,2.45100,41.26750
7266.333,1220,1236,6785,2.47208,41.27000
7265.500,1220,1386,6338,2.49317,41.26750
7263.667,1220,1520,5998,2.50738,41.28500
7263.667,1220,1570,5883,2.51463,41.27000
7263.333,1220,1632,5704,2.52186,41.29000
7261.667,1220,1714,5605,2.52911,41.28250
7261.833,1220,1821,5280,2.53635,41.28500
7261.833,1220,1833,5283,2.54360,41.29000
7260.667,1220,1846,5218,2.55084,41.30500
7261.333,1220,1907,5070,2.56162,41.30000
7261.000,1220,1839,5233,2.57240,41.29500
7259.167,1220,1881,5093,2.58663,41.27500
7259.000,1220,2032,4834,2.60083,41.27500
7258.333,1220,2032,4883,2.61506,41.26000
7258.833,1220,1950,5070,2.62584,41.29000
7257.167,1220,1767,5589,2.63662,41.27750
7256.833,1220,1639,5833,2.65083,41.29750
7257.167,1220,1526,6596,2.66505,41.27500
7256.500,1220,1372,7001,2.67928,41.28000
7255.500,1220,1235,7352,2.70037,41.27500
7255.833,1220,1074,7553,2.72145,41.26750
7255.500,1220,925,7803,2.74253,41.26750
7255.667,1220,838,8080,2.76362,41.25000
7255.667,1220,777,8259,2.78470,41.25500
7254.667,1220,732,8442,2.80580,41.24000
7254.333,1220,683,8565,2.82690,41.23000
7254.167,1220,643,8674,2.84797,41.24250
7253.000,1220,589,8875,2.88968,41.23500
7252.000,1220,527,8976,2.93138,41.23250
7251.000,1220,732,9466,2.97308,41.23000
7250.000,1220,626,9490,3.01479,41.23250
7249.667,1220,549,9493,3.05656,41.21000
7247.333,1220,548,9534,3.09829,41.20000
7245.500,1220,660,9716,3.18170,41.20500
7244.333,1220,642,9711,3.22344,41.20000
7243.500,1220,519,9667,3.26512,41.18750
7242.833,1220,464,9643,3.30683,41.19750
7240.833,1220,441,9647,3.34855,41.20500
7239.333,1220,680,9636,3.39025,41.19000
7238.667,1220,855,8993,3.41135,41.20000
7237.833,1220,1014,8279,3.43244,41.19250
7237.000,1200,1178,7333,3.45352,41.19250
7237.000,1200,1296,6911,3.46775,41.21500
7236.167,1200,1389,6530,3.48197,41.18500
7235.333,1200,1495,6249,3.49619,41.22000
7235.333,1200,1577,6009,3.51041,41.21750
7235.000,1200,1619,5851,3.51764,41.22500
7233.833,1200,1659,5801,3.52490,41.22000
7234.167,1200,1731,5576,3.53213,41.22000
7233.833,1200,1776,5554,3.53936,41.23000
7233.833,1200,1787,5631,3.54660,41.25000
7233.500,1200,1828,5458,3.55384,41.25000
7233.833,1200,1845,5420,3.56464,41.24000
7233.000,1200,1806,5550,3.57542,41.23500
7233.000,1200,1779,5451,3.58963,41.24250
7232.500,1200,1919,5181,3.60384,41.22500
7231.833,1200,1872,5238,3.61806,41.23250
7231.667,1200,1788,5203,3.62530,41.23500
7231.500,1200,1640,5570,3.63608,41.22750
7230.667,1200,1518,5961,3.65030,41.22000
7230.667,1200,1448,6213,3.66453,41.22500
7231.000,1200,1420,6403,3.67873,41.21250
7230.667,1200,1300,6699,3.69295,41.20500
7230.500,1200,1084,7187,3.71404,41.20750
7230.667,1200,873,7548,3.73513,41.19000
7230.333,1200,759,7832,3.75622,41.18750
7230.333,1200,704,8097,3.77730,41.19250
7230.667,1220,665,8317,3.79840,41.18500
7230.500,1220,633,8463,3.81949,41.17750
7230.000,1220,608,8612,3.84058,41.16250
7229.333,1220,572,8696,3.86167,41.17500
7228.833,1220,527,8862,3.90338,41.15750
